country_code,state_province,city,latitude,longitude,station_count,port_count,fast_station_count,fast_port_count,fast_station_share,fast_port_share,max_power_kw,median_power_kw,dc_fast_station_count,dc_ultra_station_count,has_fast_dc,has_ultra_dc,is_fast_dominant,dev_stage,log_station_count
AR,Buenos Aires,Unknown City,-35.24975283333333,-58.59512683333333,6,9,5,8,0.8333333333333334,0.8888888888888888,150,60,5,2,1,1,TRUE,Mature,0.8450980400142568
AT,Kärnten,Villach,46.611666,13.850474600000002,5,14,4,13,0.8,0.9285714285714286,300,225,4,3,1,1,TRUE,Mature,0.7781512503836436
BE,UNKNOWN,Unknown City,50.77140166666666,4.339684222222222,9,84,7,82,0.7777777777777778,0.9761904761904762,250,250,7,6,1,1,TRUE,Mature,1
BR,Bahia,Unknown City,-14.0480664,-39.4759804,5,12,5,12,1,1,150,60,5,1,1,1,TRUE,Mature,0.7781512503836436
BR,Paraná,Unknown City,-25.251158125,-51.382025375,8,13,6,8,0.75,0.6153846153846154,160,60,6,1,1,1,TRUE,Mature,0.9542425094393248
BR,São Paulo,São Paulo,-23.56226345454545,-46.63350672727272,11,19,8,16,0.7272727272727273,0.8421052631578947,240,60,8,2,1,1,TRUE,Mature,1.0791812460476249
BR,São Paulo,Unknown City,-22.793594375,-47.2542575,8,15,7,14,0.875,0.9333333333333332,175,60,7,2,1,1,TRUE,Mature,0.9542425094393248
CL,Región Metropolitana de Santiago,Pudahuel,-33.431829882352936,-70.78548776470588,17,17,12,12,0.7058823529411765,0.7058823529411765,150,60,12,3,1,1,TRUE,Mature,1.255272505103306
CR,UNKNOWN,Unknown City,10.282455428571428,-84.58604971428572,7,8,5,5,0.7142857142857143,0.625,90,90,5,0,1,0,TRUE,Mature,0.9030899869919436
DE,Bayern,Würzburg,49.80357166666667,9.966662666666666,6,20,5,15,0.8333333333333334,0.75,350,105,5,3,1,1,TRUE,Mature,0.8450980400142568
DE,UNKNOWN,Mahlberg,48.30369099999999,7.7893425,6,23,6,23,1,1,350,112.5,6,3,1,1,TRUE,Mature,0.8450980400142568
DE,UNKNOWN,Uelzen,52.98044125,10.544395125,8,8,6,6,0.75,0.75,150,150,6,5,1,1,TRUE,Mature,0.9542425094393248
DE,UNKNOWN,Unknown City,50.81047995045045,10.112902265765769,222,2186,176,2126,0.7927927927927928,0.9725526075022872,360,250,176,176,1,1,TRUE,Mature,2.3483048630481607
DE,Uelzen,Uelzen,52.95985366666667,10.565397833333334,6,24,6,24,1,1,150,150,6,6,1,1,TRUE,Mature,0.8450980400142568
DK,UNKNOWN,Unknown City,55.80651538888889,10.30569261111111,18,388,18,388,1,1,250,250,18,18,1,1,TRUE,Mature,1.2787536009528289
ES,Andalucía,Alcalá de Guadaíra,37.333731,-5.882506666666667,9,39,7,36,0.7777777777777778,0.9230769230769232,360,100,7,3,1,1,TRUE,Mature,1
ES,Bizkaia,Bilbao,43.26534985714285,-2.939216857142857,7,13,5,10,0.7142857142857143,0.7692307692307693,150,150,5,5,1,1,TRUE,Mature,0.9030899869919436
ES,Castilla y León,Miranda de Ebro,42.6866191,-2.9427475000000003,10,44,8,36,0.8,0.8181818181818182,150,150,8,7,1,1,TRUE,Mature,1.0413926851582251
ES,Castilla-La Mancha,Seseña,40.105944,-3.6588772,5,12,4,10,0.8,0.8333333333333334,150,60,4,1,1,1,TRUE,Mature,0.7781512503836436
ES,Castilla-La Mancha,Valdepeñas,38.78693781818182,-3.390166272727273,11,36,9,28,0.8181818181818182,0.7777777777777778,300,100,9,3,1,1,TRUE,Mature,1.0791812460476249
ES,Catalunya,Castellbisbal,41.4700034,1.977158,5,23,4,21,0.8,0.9130434782608696,150,150,4,4,1,1,TRUE,Mature,0.7781512503836436
ES,Catalunya,Castelldefels,41.272799,1.966715,7,28,6,22,0.8571428571428571,0.7857142857142857,300,100,6,2,1,1,TRUE,Mature,0.9030899869919436
